p,n,integral,Tp
1,1000000000,2.000000000002216e+00,6.756553
2,1000000000,2.000000000001684e+00,3.842594
4,1000000000,2.000000000000464e+00,2.509246
8,1000000000,2.000000000000215e+00,1.433818
